path,label
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\413.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\flute\1448.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Banjo\2142.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\295.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Trombone\2535.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Accordion\1191.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Shakers\259.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\Violin\515.wav,Violin
C:\Users\ADMIN\Downloads\music_dataset\Trombone\2212.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Violin\190.wav,Violin
C:\Users\ADMIN\Downloads\music_dataset\Organ\308.wav,Organ
C:\Users\ADMIN\Downloads\music_dataset\Shakers\88.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\Trumpet\223.wav,Trumpet
C:\Users\ADMIN\Downloads\music_dataset\Banjo\1620.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Accordion\3394.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\1238.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Shakers\891.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\flute\2753.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Shakers\239.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\flute\1586.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Saxophone\434.wav,Saxophone
C:\Users\ADMIN\Downloads\music_dataset\Ukulele\390.wav,Ukulele
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\743.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Accordion\636.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\499.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\Banjo\1303.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Trombone\1906.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Accordion\2474.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Banjo\563.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\3457.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\3113.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Trombone\1816.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Banjo\1628.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Banjo\1743.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Banjo\86.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Accordion\1902.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Trumpet\272.wav,Trumpet
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\1090.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\726.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\flute\1720.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Accordion\1082.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\1814.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\662.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\1499.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Shakers\576.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\flute\709.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\1529.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\1644.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\1749.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\flute\1767.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Trombone\2119.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\cowbell\239.wav,cowbell
C:\Users\ADMIN\Downloads\music_dataset\Trombone\174.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\142.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\1491.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\Harmonium\528.wav,Harmonium
C:\Users\ADMIN\Downloads\music_dataset\Shakers\1248.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\3402.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Hi_Hats\252.wav,Hi_Hats
C:\Users\ADMIN\Downloads\music_dataset\Accordion\3109.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\flute\3358.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Organ\924.wav,Organ
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\409.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\Accordion\72.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Banjo\1562.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\722.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\2862.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Trombone\2512.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\cowbell\199.wav,cowbell
C:\Users\ADMIN\Downloads\music_dataset\Harmonium\123.wav,Harmonium
C:\Users\ADMIN\Downloads\music_dataset\Harmonium\441.wav,Harmonium
C:\Users\ADMIN\Downloads\music_dataset\Horn\818.wav,Horn
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\547.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Horn\1239.wav,Horn
C:\Users\ADMIN\Downloads\music_dataset\Accordion\2849.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Banjo\1546.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Harmonium\811.wav,Harmonium
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\94.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Accordion\1085.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\3236.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Trumpet\33.wav,Trumpet
C:\Users\ADMIN\Downloads\music_dataset\Accordion\3214.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Trumpet\368.wav,Trumpet
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\2839.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Shakers\945.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\Harmonium\727.wav,Harmonium
C:\Users\ADMIN\Downloads\music_dataset\flute\144.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\2331.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Banjo\2449.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Trombone\707.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Harmonium\708.wav,Harmonium
C:\Users\ADMIN\Downloads\music_dataset\flute\35.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\3510.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Banjo\820.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\1676.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\65.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\920.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\flute\2856.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\1916.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Trombone\2532.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Electro_Guitar\496.wav,Electro_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Banjo\684.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Banjo\1421.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\1446.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Accordion\1743.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Trombone\604.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\2340.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\1810.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\632.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\2587.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Trombone\1902.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Banjo\2978.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\1705.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Shakers\25.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\345.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\Organ\585.wav,Organ
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\2181.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\157.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\Trombone\2621.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Trumpet\168.wav,Trumpet
C:\Users\ADMIN\Downloads\music_dataset\Trumpet\304.wav,Trumpet
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\55.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\2025.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\698.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\flute\663.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\flute\1009.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\flute\2568.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\flute\3583.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Ukulele\45.wav,Ukulele
C:\Users\ADMIN\Downloads\music_dataset\Trombone\2507.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\289.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Trombone\1725.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\3565.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Banjo\1943.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\1895.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Tambourine\445.wav,Tambourine
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\1830.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\3197.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Accordion\3470.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Accordion\844.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Accordion\2778.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\18.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\cowbell\527.wav,cowbell
C:\Users\ADMIN\Downloads\music_dataset\Accordion\2381.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\1171.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Shakers\1018.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\692.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\Shakers\226.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\Banjo\1832.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Piano\269.wav,Piano
C:\Users\ADMIN\Downloads\music_dataset\Accordion\1618.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Accordion\366.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Accordion\1747.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\flute\1676.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\981.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\2863.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\2482.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Banjo\2547.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Trombone\1482.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Harmonium\513.wav,Harmonium
C:\Users\ADMIN\Downloads\music_dataset\Trumpet\353.wav,Trumpet
C:\Users\ADMIN\Downloads\music_dataset\Violin\255.wav,Violin
C:\Users\ADMIN\Downloads\music_dataset\Trumpet\361.wav,Trumpet
C:\Users\ADMIN\Downloads\music_dataset\vibraphone\311.wav,vibraphone
C:\Users\ADMIN\Downloads\music_dataset\flute\2132.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Harmonium\1119.wav,Harmonium
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\2357.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\flute\1913.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Banjo\1368.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Cymbals\142.wav,Cymbals
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\982.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\1510.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\flute\881.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\1757.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Accordion\981.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\1944.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\1503.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\367.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Horn\503.wav,Horn
C:\Users\ADMIN\Downloads\music_dataset\Organ\771.wav,Organ
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\1831.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\2433.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Shakers\222.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\2470.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Ukulele\47.wav,Ukulele
C:\Users\ADMIN\Downloads\music_dataset\Hi_Hats\35.wav,Hi_Hats
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\2841.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Accordion\896.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\1654.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\Shakers\1066.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\Accordion\1677.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\2145.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Trumpet\146.wav,Trumpet
C:\Users\ADMIN\Downloads\music_dataset\Organ\690.wav,Organ
C:\Users\ADMIN\Downloads\music_dataset\Trombone\1733.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\1414.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Trombone\791.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Banjo\2918.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Banjo\702.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\2040.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\3520.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Hi_Hats\291.wav,Hi_Hats
C:\Users\ADMIN\Downloads\music_dataset\Trombone\1068.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Banjo\2067.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Organ\583.wav,Organ
C:\Users\ADMIN\Downloads\music_dataset\Banjo\2534.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Trombone\2475.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\1929.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\flute\2004.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Dobro\212.wav,Dobro
C:\Users\ADMIN\Downloads\music_dataset\Floor_Tom\194.wav,Floor_Tom
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\1003.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Violin\5.wav,Violin
C:\Users\ADMIN\Downloads\music_dataset\Banjo\782.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Trombone\137.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\3350.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Harmonium\636.wav,Harmonium
C:\Users\ADMIN\Downloads\music_dataset\Shakers\650.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\Accordion\1475.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\741.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\2669.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Banjo\2998.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Banjo\2555.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\flute\2793.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Banjo\1735.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Accordion\735.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\783.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\2228.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Trombone\949.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Harmonium\994.wav,Harmonium
C:\Users\ADMIN\Downloads\music_dataset\Organ\149.wav,Organ
C:\Users\ADMIN\Downloads\music_dataset\Organ\533.wav,Organ
C:\Users\ADMIN\Downloads\music_dataset\Electro_Guitar\293.wav,Electro_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\55.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\1802.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\flute\2861.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Banjo\703.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\vibraphone\158.wav,vibraphone
C:\Users\ADMIN\Downloads\music_dataset\Banjo\2529.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\568.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\1261.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Trombone\1686.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Harmonium\498.wav,Harmonium
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\3529.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\3610.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Shakers\1204.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\910.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Accordion\620.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Harmonica\1.wav,Harmonica
C:\Users\ADMIN\Downloads\music_dataset\Shakers\747.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\1606.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\1091.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\717.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Hi_Hats\148.wav,Hi_Hats
C:\Users\ADMIN\Downloads\music_dataset\flute\1989.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Trumpet\320.wav,Trumpet
C:\Users\ADMIN\Downloads\music_dataset\Tambourine\101.wav,Tambourine
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\323.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\3007.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Harmonium\837.wav,Harmonium
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\1948.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\1165.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\vibraphone\357.wav,vibraphone
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\3156.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Harmonium\347.wav,Harmonium
C:\Users\ADMIN\Downloads\music_dataset\Horn\488.wav,Horn
C:\Users\ADMIN\Downloads\music_dataset\flute\357.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\306.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\Clarinet\208.wav,Clarinet
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\1222.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\Shakers\1013.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\Organ\91.wav,Organ
C:\Users\ADMIN\Downloads\music_dataset\Tambourine\206.wav,Tambourine
