filename,cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
01 - Chet Baker - Prayer For The Newborn-2.wav,0,0,0,0,0,0,1,1,1,0,0
01 - Chet Baker - Prayer For The Newborn-20.wav,0,0,0,0,0,0,1,0,1,0,0
01 - Chet Baker - Prayer For The Newborn-21.wav,0,0,0,0,0,0,1,1,1,0,0
01 - Chet Baker - Prayer For The Newborn-22.wav,0,0,0,0,0,0,1,1,1,0,0
01 - Chet Baker - Prayer For The Newborn-24.wav,0,0,0,0,0,0,0,1,1,0,0
01 - Chet Baker - Prayer For The Newborn-3.wav,0,0,0,0,0,0,1,1,1,0,0
01 - Chet Baker - Prayer For The Newborn-5.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Chet Baker - Prayer For The Newborn-6.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Chet Baker - Prayer For The Newborn-8.wav,0,0,0,0,0,0,1,0,1,0,0
01 - Chet Baker - Prayer For The Newborn-9.wav,0,0,0,0,0,0,1,0,1,0,0
01 - Da Duh Dah-1.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Da Duh Dah-10.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Da Duh Dah-11.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Da Duh Dah-13.wav,0,0,0,0,0,0,1,1,1,0,0
01 - Da Duh Dah-15.wav,0,0,0,0,0,0,0,1,1,0,0
01 - Da Duh Dah-18.wav,0,0,0,0,0,0,1,1,1,0,0
01 - Da Duh Dah-2.wav,0,0,0,0,0,0,1,1,1,0,0
01 - Da Duh Dah-4.wav,0,0,0,0,0,0,1,0,1,0,0
01 - Da Duh Dah-5.wav,0,0,0,0,0,0,1,0,1,0,0
01 - Da Duh Dah-7.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Da Duh Dah-8.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Hilary Hahnn_BWV 1042 - I. AllegroA-15.wav,0,0,0,0,0,0,0,0,0,1,0
01 - Honky Cat-1.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Honky Cat-10.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Honky Cat-11.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Honky Cat-12.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Honky Cat-14.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Honky Cat-15.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Honky Cat-16.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Honky Cat-18.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Honky Cat-19.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Honky Cat-2.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Honky Cat-20.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Honky Cat-21.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Honky Cat-22.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Honky Cat-23.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Honky Cat-24.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Honky Cat-25.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Honky Cat-26.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Honky Cat-27.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Honky Cat-28.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Honky Cat-29.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Honky Cat-30.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Honky Cat-31.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Honky Cat-32.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Honky Cat-4.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Honky Cat-5.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Honky Cat-6.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Honky Cat-7.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Honky Cat-8.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Inolvidable-1.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Inolvidable-10.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Inolvidable-11.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Inolvidable-12.wav,0,0,0,0,0,0,0,0,0,0,1
01 - Inolvidable-13.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Inolvidable-2.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Inolvidable-3.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Inolvidable-4.wav,0,0,0,0,0,0,1,0,0,0,1
01 - Inolvidable-5.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Inolvidable-6.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Inolvidable-7.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Inolvidable-9.wav,0,0,0,0,0,0,1,0,0,0,1
01 - La leyenda del tiempo-11.wav,0,0,0,1,0,1,0,0,0,0,0
01 - La leyenda del tiempo-13.wav,0,0,0,1,0,0,0,0,0,0,1
01 - La leyenda del tiempo-15.wav,0,0,0,1,0,0,0,0,0,0,0
01 - La leyenda del tiempo-2.wav,0,0,0,1,0,0,0,0,0,0,0
01 - La leyenda del tiempo-3.wav,0,0,0,1,0,1,0,0,0,0,0
01 - La leyenda del tiempo-4.wav,0,0,0,1,0,0,0,0,0,0,1
01 - La leyenda del tiempo-5.wav,0,0,0,1,0,0,0,0,0,0,1
01 - La leyenda del tiempo-6.wav,0,0,0,1,0,0,0,0,0,0,1
01 - La leyenda del tiempo-7.wav,0,0,0,1,0,0,0,0,0,0,0
01 - La leyenda del tiempo-9.wav,0,0,0,1,0,0,0,0,0,0,1
01 - Led Zeppelin - Custard Pie-1.wav,0,0,0,0,1,0,0,0,0,0,0
01 - Led Zeppelin - Custard Pie-10.wav,0,0,0,0,1,0,0,0,0,0,1
01 - Led Zeppelin - Custard Pie-12.wav,0,0,0,0,1,0,0,0,0,0,1
01 - Led Zeppelin - Custard Pie-13.wav,0,0,0,0,1,0,0,0,0,0,1
01 - Led Zeppelin - Custard Pie-14.wav,0,0,0,0,1,0,0,0,0,0,0
01 - Led Zeppelin - Custard Pie-15.wav,0,0,0,0,1,0,0,0,0,0,1
01 - Led Zeppelin - Custard Pie-16.wav,0,0,0,0,1,0,0,0,0,0,0
01 - Led Zeppelin - Custard Pie-2.wav,0,0,0,0,1,0,0,0,0,0,1
01 - Led Zeppelin - Custard Pie-3.wav,0,0,0,0,1,0,0,0,0,0,1
01 - Led Zeppelin - Custard Pie-4.wav,0,0,0,0,1,0,0,0,0,0,1
01 - Led Zeppelin - Custard Pie-5.wav,0,0,0,0,1,0,0,0,0,0,1
01 - Led Zeppelin - Custard Pie-7.wav,0,0,0,0,1,0,0,0,0,0,1
01 - Led Zeppelin - Custard Pie-8.wav,0,0,0,0,1,0,0,0,0,0,0
01 - Orchids in the Moonlight-1.wav,0,0,0,1,0,0,0,0,0,0,0
01 - Orchids in the Moonlight-10.wav,0,0,0,1,0,0,0,0,0,0,0
01 - Orchids in the Moonlight-11.wav,0,0,0,1,0,0,0,0,0,0,0
01 - Orchids in the Moonlight-2.wav,0,0,0,1,0,0,0,0,0,0,0
01 - Orchids in the Moonlight-3.wav,0,0,0,1,0,0,0,0,0,0,0
01 - Orchids in the Moonlight-5.wav,0,0,0,1,0,0,0,0,0,0,0
01 - Orchids in the Moonlight-6.wav,0,0,0,1,0,0,0,0,0,0,0
01 - Orchids in the Moonlight-7.wav,0,0,0,1,0,0,0,0,0,0,0
01 - Orchids in the Moonlight-8.wav,0,0,0,1,0,0,0,0,0,0,0
01 - Orchids in the Moonlight-9.wav,0,0,0,1,0,0,0,0,0,0,0
"01 - Paganini - Eliot Fisk, Guitar - No. 1 in E-major-1.wav",0,0,0,1,0,0,0,0,0,0,0
"01 - Paganini - Eliot Fisk, Guitar - No. 1 in E-major-2.wav",0,0,0,1,0,0,0,0,0,0,0
"01 - Paganini - Eliot Fisk, Guitar - No. 1 in E-major-3.wav",0,0,0,1,0,0,0,0,0,0,0
"01 - Paganini - Eliot Fisk, Guitar - No. 1 in E-major-4.wav",0,0,0,1,0,0,0,0,0,0,0
"01 - Paganini - Eliot Fisk, Guitar - No. 1 in E-major-5.wav",0,0,0,1,0,0,0,0,0,0,0
"01 - Paganini - Eliot Fisk, Guitar - No. 1 in E-major-6.wav",0,0,0,1,0,0,0,0,0,0,0
01 - Roadgame-1.wav,0,0,0,0,0,0,0,0,0,0,1
01 - Roadgame-10.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Roadgame-12.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Roadgame-13.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Roadgame-14.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Roadgame-15.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Roadgame-16.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Roadgame-17.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Roadgame-18.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Roadgame-19.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Roadgame-21.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Roadgame-22.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Roadgame-23.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Roadgame-24.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Roadgame-26.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Roadgame-27.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Roadgame-28.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Roadgame-3.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Roadgame-30.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Roadgame-32.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Roadgame-33.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Roadgame-4.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Roadgame-6.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Roadgame-7.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Roadgame-8.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Roadgame-9.wav,0,0,0,0,0,0,1,0,0,0,0
01 - So What-1.wav,0,0,0,0,0,0,1,0,0,0,0
01 - So What-10.wav,0,0,0,0,0,0,1,0,1,0,0
01 - So What-11.wav,0,0,0,0,0,0,1,0,1,0,0
01 - So What-13.wav,0,0,0,0,0,0,1,1,0,0,0
01 - So What-14.wav,0,0,0,0,0,0,1,1,0,0,0
01 - So What-15.wav,0,0,0,0,0,0,1,1,0,0,0
01 - So What-16.wav,0,0,0,0,0,0,1,1,0,0,0
01 - So What-17.wav,0,0,0,0,0,0,1,1,0,0,0
01 - So What-18.wav,0,0,0,0,0,0,1,1,0,0,0
01 - So What-19.wav,0,0,0,0,0,0,1,1,0,0,0
01 - So What-20.wav,0,0,0,0,0,0,1,1,0,0,0
01 - So What-21.wav,0,0,0,0,0,0,1,1,0,0,0
01 - So What-22.wav,0,0,0,0,0,0,1,1,0,0,0
01 - So What-24.wav,0,0,0,0,0,0,1,0,0,0,0
01 - So What-25.wav,0,0,0,0,0,0,1,0,0,0,0
01 - So What-27.wav,0,0,0,0,0,0,1,0,0,0,0
01 - So What-29.wav,0,0,0,0,0,0,1,0,0,0,0
01 - So What-31.wav,0,0,0,0,0,0,1,0,0,0,0
01 - So What-4.wav,0,0,0,0,0,0,1,0,0,0,0
01 - So What-5.wav,0,0,0,0,0,0,1,0,0,0,0
01 - So What-7.wav,0,0,0,0,0,0,1,0,1,0,0
01 - So What-8.wav,0,0,0,0,0,0,1,0,1,0,0
01 - So What-9.wav,0,0,0,0,0,0,1,0,1,0,0
01 - Wee Baby Blues-1.wav,0,0,0,0,0,0,1,1,0,0,0
01 - Wee Baby Blues-11.wav,0,0,0,0,1,0,1,0,0,0,1
01 - Wee Baby Blues-2.wav,0,0,0,0,1,0,1,0,0,0,1
01 - Wee Baby Blues-3.wav,0,0,0,0,1,0,1,0,0,0,1
01 - Wee Baby Blues-4.wav,0,0,0,0,1,0,1,0,0,0,1
01 - Wee Baby Blues-6.wav,0,0,0,0,1,0,1,0,0,0,0
01 - Wee Baby Blues-7.wav,0,0,0,0,1,0,1,0,0,0,0
01 - Wee Baby Blues-9.wav,0,0,0,0,1,0,1,1,0,0,0
01 - roads-12.wav,0,0,0,0,0,0,0,0,0,0,1
01 - roads-13.wav,0,0,0,0,0,0,0,0,0,0,1
01 - roads-15.wav,0,0,0,0,0,0,0,0,0,0,1
01 - roads-18.wav,0,0,0,0,0,0,0,0,0,0,1
01 - roads-19.wav,0,0,0,0,0,0,0,0,0,0,1
01 - roads-20.wav,0,0,0,0,0,0,0,0,0,0,1
01 - roads-21.wav,0,0,0,0,0,0,0,0,0,0,1
01 - roads-22.wav,0,0,0,0,0,0,0,0,0,0,1
01 - roads-23.wav,0,0,0,0,0,0,0,0,0,0,1
01 - roads-4.wav,0,0,0,0,0,0,0,0,0,0,1
01 - roads-5.wav,0,0,0,0,0,0,0,0,0,0,1
01 - roads-7.wav,0,0,0,0,0,0,0,0,0,0,1
01 - roads-8.wav,0,0,0,0,0,0,0,0,0,0,1
01 Blue Train-1.wav,0,0,0,0,0,0,1,0,0,0,0
01 Blue Train-10.wav,0,0,0,0,0,0,1,1,0,0,0
01 Blue Train-12.wav,0,0,0,0,0,0,1,1,0,0,0
01 Blue Train-14.wav,0,0,0,0,0,0,1,0,1,0,0
01 Blue Train-15.wav,0,0,0,0,0,0,1,0,1,0,0
01 Blue Train-16.wav,0,0,0,0,0,0,1,0,1,0,0
01 Blue Train-17.wav,0,0,0,0,0,0,1,0,1,0,0
01 Blue Train-18.wav,0,0,0,0,0,0,1,0,1,0,0
01 Blue Train-20.wav,0,0,0,0,0,0,1,0,0,0,0
01 Blue Train-21.wav,0,0,0,0,0,0,1,0,0,0,0
01 Blue Train-22.wav,0,0,0,0,0,0,1,0,0,0,0
01 Blue Train-23.wav,0,0,0,0,0,0,1,0,0,0,0
01 Blue Train-25.wav,0,0,0,0,0,0,1,0,0,0,0
01 Blue Train-26.wav,0,0,0,0,0,0,1,0,0,0,0
01 Blue Train-27.wav,0,0,0,0,0,0,1,0,0,0,0
01 Blue Train-28.wav,0,0,0,0,0,0,1,0,0,0,0
01 Blue Train-29.wav,0,0,0,0,0,0,1,0,0,0,0
01 Blue Train-3.wav,0,0,0,0,0,0,1,1,0,0,0
01 Blue Train-30.wav,0,0,0,0,0,0,1,0,0,0,0
01 Blue Train-31.wav,0,0,0,0,0,0,1,0,0,0,0
01 Blue Train-36.wav,0,0,0,0,0,0,1,0,0,0,0
01 Blue Train-37.wav,0,0,0,0,0,0,1,0,0,0,0
01 Blue Train-4.wav,0,0,0,0,0,0,1,1,0,0,0
01 Blue Train-5.wav,0,0,0,0,0,0,1,1,0,0,0
01 Blue Train-6.wav,0,0,0,0,0,0,1,1,0,0,0
01 Blue Train-7.wav,0,0,0,0,0,0,1,1,0,0,0
01 Blue Train-9.wav,0,0,0,0,0,0,1,1,0,0,0
01 Booker T. Jones - Pound It Out-1.wav,0,0,0,0,1,1,0,0,0,0,0
01 Booker T. Jones - Pound It Out-10.wav,0,0,0,0,1,1,0,0,0,0,0
01 Booker T. Jones - Pound It Out-11.wav,0,0,0,0,1,1,0,0,0,0,0
01 Booker T. Jones - Pound It Out-12.wav,0,0,0,0,1,1,0,0,0,0,0
01 Booker T. Jones - Pound It Out-13.wav,0,0,0,0,1,1,0,0,0,0,0
01 Booker T. Jones - Pound It Out-3.wav,0,0,0,0,1,0,0,0,0,0,0
01 Booker T. Jones - Pound It Out-4.wav,0,0,0,0,1,1,0,0,0,0,0
01 Booker T. Jones - Pound It Out-6.wav,0,0,0,0,1,1,0,0,0,0,0
01 Booker T. Jones - Pound It Out-8.wav,0,0,0,0,1,1,0,0,0,0,0
01 Booker T. Jones - Pound It Out-9.wav,0,0,0,0,1,1,0,0,0,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-1.wav,0,0,0,1,0,0,0,0,1,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-10.wav,0,0,0,0,1,0,0,1,1,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-12.wav,0,0,0,1,1,0,0,0,0,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-13.wav,0,0,0,1,1,0,0,1,0,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-14.wav,0,0,0,1,1,0,0,0,0,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-16.wav,0,0,0,0,1,0,0,1,0,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-17.wav,0,0,0,0,1,0,0,1,0,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-18.wav,0,0,0,0,1,0,0,1,0,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-2.wav,0,0,0,1,0,0,0,0,1,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-20.wav,0,0,0,1,1,0,0,0,0,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-21.wav,0,0,0,1,1,0,0,0,0,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-22.wav,0,0,0,1,1,0,0,0,0,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-24.wav,0,0,0,1,1,0,0,0,1,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-26.wav,0,0,0,1,1,0,0,1,1,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-27.wav,0,0,0,1,1,0,0,1,1,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-29.wav,0,0,0,1,1,0,0,1,0,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-3.wav,0,0,0,1,0,0,0,0,1,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-30.wav,0,0,0,1,1,0,0,1,1,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-31.wav,0,0,0,1,1,0,0,1,1,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-32.wav,0,0,0,1,1,0,0,1,1,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-33.wav,0,0,0,1,1,0,0,1,1,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-34.wav,0,0,0,1,1,0,0,1,1,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-4.wav,0,0,0,1,0,0,0,0,1,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-6.wav,0,0,0,1,0,0,0,0,0,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-8.wav,0,0,0,0,1,0,0,0,1,0,0
01 Chuck Mangione_Feels So Good_Feels So Good-9.wav,0,0,0,0,1,0,0,1,1,0,0
01 Don't Get Around Much Anymore-1.wav,0,0,0,0,0,0,1,0,0,0,0
01 Don't Get Around Much Anymore-10.wav,0,0,0,0,0,0,1,0,0,0,0
01 Don't Get Around Much Anymore-12.wav,0,0,0,0,0,0,1,0,0,0,0
01 Don't Get Around Much Anymore-13.wav,0,0,0,0,0,0,1,0,0,0,0
01 Don't Get Around Much Anymore-14.wav,0,0,0,0,0,0,1,0,0,0,0
01 Don't Get Around Much Anymore-16.wav,0,0,0,0,0,0,1,1,1,0,0
01 Don't Get Around Much Anymore-18.wav,0,0,0,0,0,0,1,1,0,0,0
01 Don't Get Around Much Anymore-2.wav,0,0,0,0,0,0,1,1,0,0,0
01 Don't Get Around Much Anymore-3.wav,0,0,0,0,0,0,1,1,1,0,0
01 Don't Get Around Much Anymore-4.wav,0,0,0,0,0,0,1,0,0,0,0
01 Don't Get Around Much Anymore-5.wav,0,0,0,0,0,0,1,0,0,0,0
01 Don't Get Around Much Anymore-6.wav,0,0,0,0,0,0,1,0,0,0,0
01 Don't Get Around Much Anymore-7.wav,0,0,0,0,0,0,1,0,1,0,0
01 Don't Get Around Much Anymore-8.wav,0,0,0,0,0,0,1,0,1,0,0
01 Don't Get Around Much Anymore-9.wav,0,0,0,0,0,0,1,0,0,0,0
01 El Patufet-1.wav,0,0,0,0,0,0,0,0,0,0,1
01 El Patufet-3.wav,0,0,1,0,0,0,0,0,0,0,0
01 El Patufet-5.wav,0,0,0,0,0,0,0,0,0,0,1
01 El Patufet-6.wav,0,0,0,0,0,0,0,0,0,0,1
01 El Patufet-7.wav,0,0,0,0,0,0,0,0,0,0,1
01 Emily-1.wav,0,0,0,0,0,0,0,0,0,0,1
01 Emily-10.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-11.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-13.wav,1,0,0,0,0,0,0,0,0,0,1
01 Emily-15.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-16.wav,1,0,0,0,0,0,0,0,0,0,1
01 Emily-18.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-19.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-2.wav,0,0,0,0,0,0,0,0,0,1,1
01 Emily-20.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-21.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-22.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-23.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-24.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-26.wav,0,0,0,0,0,0,0,0,0,0,1
01 Emily-28.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-29.wav,0,0,0,0,0,0,0,0,0,0,1
01 Emily-30.wav,0,0,0,0,0,0,0,0,0,0,1
01 Emily-32.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-34.wav,0,0,0,0,0,0,0,0,0,0,1
01 Emily-35.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-36.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-37.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-38.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-40.wav,1,0,0,0,0,0,0,0,0,1,0
01 Emily-5.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-6.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-7.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-8.wav,1,0,0,0,0,0,0,0,0,1,1
01 Emily-9.wav,1,0,0,0,0,0,0,0,0,1,1
01 Good Vibrations-1.wav,0,0,0,0,1,0,0,1,0,0,0
